"","id","prijmeni","jmeno","interpelace","zakony","hlasovani_anone","vystoupeni","slova"
"5858",5891,"Antonín","Pavel",1,32,47.5688541312479,15,6368
"5869",5902,"Čechlovský","Jan",16,9,53.8252295137708,52,15122
"5876",5909,"Farský","Jan",0,4,50.9520571234274,18,6095
"5877",5910,"Florián","Jan",2,4,43.8456307378443,23,2560
"5882",5915,"Gregora","Martin",0,5,55.3723223393404,7,1216
"5893",5926,"Chvojka","Jan",30,43,49.5409724583475,129,48747
"5904",5937,"Kohoutová","Lenka",6,6,55.1173070384223,81,31465
"5912",5945,"Martinů","Jaroslav",0,2,69.0921455287317,2,180
"5920",5953,"Pajer","Jan",2,6,63.9238354301258,10,1804
"5926",5959,"Roztočil","Aleš",0,6,47.8748724923495,5,1417
"5951",5984,"Weberová","Ivana",1,2,50.2040122407344,71,15199
"5956",5990,"Fischerová","Jana",9,4,63.5498129887793,35,5775
